Year,Month,PACIFIC_comp_1,ATLANTIC_comp_1
1885,12,0.292424,-0.0936
1886,1,0.177416,0.00974
1886,2,0.0479,-0.0411
1886,3,0.146542,0.174188
1886,4,0.0919,0.247547
1886,5,0.0294,0.0503
1886,6,-0.162,0.0523
1886,7,-0.19154,-0.0259
1886,8,-0.290028,-0.027
1886,9,-0.289705,-0.0897
1886,10,-0.418138,-0.18986
1886,11,-0.365551,-0.22617
1886,12,-0.471251,-0.336037
1887,1,-0.378577,-0.49044
1887,2,-0.381801,-0.602497
1887,3,-0.294249,-0.427781
1887,4,-0.370548,-0.349014
1887,5,-0.318946,-0.377413
1887,6,-0.331252,-0.367518
1887,7,-0.222185,-0.353126
1887,8,-0.298114,-0.367072
1887,9,-0.230899,-0.233796
1887,10,-0.148395,-0.139058
1887,11,-0.0582,-0.282598
1887,12,-0.0235,-0.419762
1888,1,0.052,-0.437649
1888,2,0.150223,-0.54166
1888,3,0.228095,-0.350316
1888,4,0.108992,-0.454899
1888,5,0.211718,-0.423213
1888,6,0.233816,-0.519662
1888,7,0.224988,-0.331233
1888,8,0.316801,-0.236691
1888,9,0.466645,-0.106518
1888,10,0.599175,-0.00159
1888,11,0.659732,0.0261
1888,12,0.662577,0.116602
1889,1,0.66028,0.161214
1889,2,0.53808,0.142998
1889,3,0.461223,0.167451
1889,4,0.337753,0.0767
1889,5,0.320422,0.108034
1889,6,0.141657,-0.00206
1889,7,0.0588,0.0948
1889,8,-0.171878,0.0571
1889,9,-0.228636,0.0027
1889,10,-0.370289,-0.0237
1889,11,-0.393601,0.00154
1889,12,-0.381998,-0.0419
1890,1,-0.472174,-0.0114
1890,2,-0.369053,-0.216864
1890,3,-0.265437,-0.383009
1890,4,-0.247047,-0.338647
1890,5,-0.219111,-0.342917
1890,6,-0.334186,-0.343965
1890,7,-0.356631,-0.435866
1890,8,-0.433491,-0.545784
1890,9,-0.432304,-0.474217
1890,10,-0.482332,-0.514334
1890,11,-0.398379,-0.557737
1890,12,-0.161946,-0.400164
1891,1,-0.0754,-0.410444
1891,2,-0.0401,-0.352996
1891,3,-0.0258,-0.33045
1891,4,0.0843,-0.256604
1891,5,0.160617,-0.256348
1891,6,0.0877,-0.360677
1891,7,0.0307,-0.41287
1891,8,0.0906,-0.387875
1891,9,0.0172,-0.283718
1891,10,0.0293,-0.106656
1891,11,0.0256,-0.315483
1891,12,-0.00233,-0.269386
1892,1,0.0276,-0.205675
1892,2,0.0158,-0.138398
1892,3,-0.0953,-0.0745
1892,4,-0.22376,-0.32589
1892,5,-0.151177,-0.621353
1892,6,-0.238931,-0.653913
1892,7,-0.451449,-0.518218
1892,8,-0.511234,-0.350788
1892,9,-0.566437,-0.339603
1892,10,-0.691057,-0.351718
1892,11,-0.683749,-0.432152
1892,12,-0.579337,-0.287288
1893,1,-0.555938,-0.536742
1893,2,-0.547433,-0.54321
1893,3,-0.442791,-0.500073
1893,4,-0.445122,-0.638974
1893,5,-0.551036,-0.416173
1893,6,-0.587214,-0.208889
1893,7,-0.522218,-0.133189
1893,8,-0.56645,0.0281
1893,9,-0.571523,-0.0889
1893,10,-0.557688,-0.124208
1893,11,-0.583388,-0.13558
1893,12,-0.487441,-0.252817
1894,1,-0.539222,-0.297084
1894,2,-0.486501,-0.323348
1894,3,-0.426271,-0.335797
1894,4,-0.348721,-0.316524
1894,5,-0.409408,-0.341929
1894,6,-0.402376,-0.309576
1894,7,-0.306164,-0.302977
1894,8,-0.363654,-0.43705
1894,9,-0.319768,-0.445286
1894,10,-0.309446,-0.266124
1894,11,-0.218407,-0.235756
1894,12,-0.194191,-0.0845
1895,1,-0.112817,-0.0249
1895,2,-0.149185,0.00791
1895,3,-0.116499,-0.137
1895,4,-0.0847,-0.158361
1895,5,-0.0856,-0.173863
1895,6,-0.134305,-0.296175
1895,7,-0.114523,-0.265927
1895,8,0.00646,-0.180132
1895,9,0.0765,-0.101036
1895,10,0.129293,0.0506
1895,11,0.206751,0.00291
1895,12,0.0801,-0.055
1896,1,0.0484,-0.102194
1896,2,0.00509,-0.0279
1896,3,0.103773,-0.0882
1896,4,0.114155,-0.0645
1896,5,0.0495,0.0266
1896,6,0.105122,-0.16348
1896,7,0.217814,-0.123617
1896,8,0.361333,-0.263996
1896,9,0.385206,-0.0329
1896,10,0.421571,0.105354
1896,11,0.548478,0.101115
1896,12,0.618358,0.133374
1897,1,0.601575,0.0516
1897,2,0.487806,0.0727
1897,3,0.416987,0.311079
1897,4,0.325303,0.286083
1897,5,0.241205,0.105922
1897,6,0.165147,-0.0562
1897,7,0.207483,0.0868
1897,8,0.123646,0.015
1897,9,0.0707,0.0301
1897,10,-0.0269,0.0919
1897,11,-0.124945,-0.0719
1897,12,-0.0793,-0.140412
1898,1,-0.126212,-0.419932
1898,2,-0.192838,-0.53563
1898,3,-0.200165,-0.470279
1898,4,-0.198903,-0.444827
1898,5,-0.175223,-0.404873
1898,6,-0.129412,-0.386076
1898,7,-0.197088,-0.498075
1898,8,-0.247806,-0.498581
1898,9,-0.198483,-0.246483
1898,10,-0.186784,-0.218298
1898,11,-0.21776,-0.0835
1898,12,-0.252078,-0.0148
1899,1,-0.268027,-0.122296
1899,2,-0.276058,-0.0307
1899,3,-0.204483,-0.0576
1899,4,-0.247149,-0.0213
1899,5,-0.145934,0.0201
1899,6,-0.143638,0.0628
1899,7,-0.0265,0.0513
1899,8,0.160634,0.0812
1899,9,0.177315,0.00233
1899,10,0.300365,0.0396
1899,11,0.398632,-0.104781
1899,12,0.491027,-0.134639
1900,1,0.45306,-0.358043
1900,2,0.438379,-0.317342
1900,3,0.345092,-0.355489
1900,4,0.366422,-0.227131
1900,5,0.315935,-0.251683
1900,6,0.260341,-0.170724
1900,7,0.224587,-0.0596
1900,8,0.173961,-0.117987
1900,9,0.18465,-0.0703
1900,10,0.200136,-0.0263
1900,11,0.16516,-0.00141
1900,12,0.264529,0.0488
1901,1,0.257065,0.0243
1901,2,0.14698,0.0905
1901,3,0.100945,0.0628
1901,4,0.0958,0.12788
1901,5,-0.0389,0.0453
1901,6,-0.0992,-0.0213
1901,7,-0.131647,-0.0102
1901,8,-0.0617,0.000793
1901,9,-0.124534,-0.118648
1901,10,-0.0898,-0.132178
1901,11,-0.12159,-0.220802
1901,12,-0.108797,-0.249955
1902,1,-0.0549,-0.3006
1902,2,-0.00741,-0.139727
1902,3,0.0021,-0.16033
1902,4,0.0783,-0.0919
1902,5,0.139745,-0.1215
1902,6,0.175896,-0.283916
1902,7,0.33316,-0.300697
1902,8,0.414019,-0.405738
1902,9,0.46603,-0.333713
1902,10,0.508726,-0.32051
1902,11,0.506147,-0.428878
1902,12,0.468256,-0.241751
1903,1,0.405111,-0.301648
1903,2,0.290384,-0.351917
1903,3,0.183105,-0.460789
1903,4,0.0153,-0.425986
1903,5,-0.0251,-0.455024
1903,6,-0.0549,-0.487554
1903,7,-0.102283,-0.533595
1903,8,-0.199816,-0.655043
1903,9,-0.248988,-0.668453
1903,10,-0.267971,-0.630383
1903,11,-0.327563,-0.682658
1903,12,-0.418961,-0.661036
1904,1,-0.380428,-0.747216
1904,2,-0.380445,-0.802746
1904,3,-0.300876,-0.764407
1904,4,-0.247799,-0.825418
1904,5,-0.206041,-0.675844
1904,6,-0.192195,-0.704411
1904,7,-0.153549,-0.694639
1904,8,-0.0387,-0.636811
1904,9,0.05,-0.601503
1904,10,0.157227,-0.623448
1904,11,0.202795,-0.525467
1904,12,0.293704,-0.437365
1905,1,0.288874,-0.488127
1905,2,0.284104,-0.541841
1905,3,0.242295,-0.646853
1905,4,0.13952,-0.566747
1905,5,0.242547,-0.360036
1905,6,0.273279,-0.514897
1905,7,0.271467,-0.477612
1905,8,0.356943,-0.467114
1905,9,0.454199,-0.445406
1905,10,0.402703,-0.375272
1905,11,0.418499,-0.456049
1905,12,0.413641,-0.297356
1906,1,0.42318,-0.29617
1906,2,0.356068,-0.305953
1906,3,0.254329,-0.255684
1906,4,0.134714,-0.307933
1906,5,0.0473,-0.459175
1906,6,0.0392,-0.485687
1906,7,-0.037,-0.529151
1906,8,-0.20584,-0.524819
1906,9,-0.190174,-0.521631
1906,10,-0.259379,-0.582408
1906,11,-0.252119,-0.551269
1906,12,-0.183678,-0.592367
1907,1,-0.173665,-0.608622
1907,2,-0.146231,-0.568363
1907,3,-0.161087,-0.398728
1907,4,-0.10604,-0.463084
1907,5,-0.052,-0.461981
1907,6,-0.0333,-0.599875
1907,7,-0.0127,-0.568586
1907,8,-0.134606,-0.396176
1907,9,-0.0646,-0.297269
1907,10,-0.0531,-0.413469
1907,11,-0.0964,-0.549692
1907,12,-0.0267,-0.673653
1908,1,-0.00979,-0.787587
1908,2,-0.0389,-0.799548
1908,3,-0.229446,-0.868354
1908,4,-0.215195,-0.83324
1908,5,-0.277841,-0.694581
1908,6,-0.315061,-0.71287
1908,7,-0.371981,-0.668056
1908,8,-0.315319,-0.476753
1908,9,-0.314011,-0.415239
1908,10,-0.344993,-0.397828
1908,11,-0.428233,-0.583315
1908,12,-0.40357,-0.530531
1909,1,-0.272804,-0.543398
1909,2,-0.288079,-0.587939
1909,3,-0.302862,-0.456484
1909,4,-0.291155,-0.374431
1909,5,-0.300042,-0.05
1909,6,-0.397664,-0.20971
1909,7,-0.43985,-0.292646
1909,8,-0.423905,-0.193141
1909,9,-0.432938,-0.168689
1909,10,-0.520049,-0.273247
1909,11,-0.541413,-0.363055
1909,12,-0.46116,-0.231547
1910,1,-0.412278,-0.252498
1910,2,-0.498615,-0.218104
1910,3,-0.448198,-0.242936
1910,4,-0.490781,-0.162493
1910,5,-0.489746,-0.0328
1910,6,-0.519468,0.00701
1910,7,-0.533098,0.0234
1910,8,-0.541266,-0.316129
1910,9,-0.481061,-0.145207
1910,10,-0.485888,-0.363446
1910,11,-0.484239,-0.40148
1910,12,-0.41746,-0.550596
1911,1,-0.278205,-0.673953
1911,2,-0.368326,-0.574875
1911,3,-0.261317,-0.715781
1911,4,-0.393336,-0.691705
1911,5,-0.354692,-0.65161
1911,6,-0.373811,-0.599896
1911,7,-0.277752,-0.501569
1911,8,-0.179711,-0.605235
1911,9,-0.0515,-0.430438
1911,10,0.0844,-0.345146
1911,11,0.233242,-0.32218
1911,12,0.286049,0.0117
1912,1,0.291734,0.0426
1912,2,0.237964,-0.119346
1912,3,0.182893,-0.0593
1912,4,0.239475,-0.0643
1912,5,0.142304,-0.168166
1912,6,0.120325,-0.206465
1912,7,0.00506,-0.313392
1912,8,-0.129078,-0.297024
1912,9,-0.0731,-0.223341
1912,10,-0.0466,-0.299589
1912,11,-0.083,-0.138598
1912,12,-0.0936,-0.27302
1913,1,-0.0511,-0.317107
1913,2,0.0102,-0.239741
1913,3,-0.165599,-0.254447
1913,4,-0.267095,-0.256966
1913,5,-0.207654,0.0524
1913,6,-0.124217,-0.0947
1913,7,-0.138075,-0.0149
1913,8,-0.0477,-0.148244
1913,9,0.00993,-0.224681
1913,10,0.0878,-0.228248
1913,11,0.146595,-0.261038
1913,12,0.242594,-0.289359
1914,1,0.221053,-0.165088
1914,2,0.202865,-0.320429
1914,3,0.164258,-0.410159
1914,4,0.189026,-0.36448
1914,5,0.153875,-0.375624
1914,6,0.140935,-0.569888
1914,7,0.155634,-0.55749
1914,8,0.285515,-0.253709
1914,9,0.305575,-0.222964
1914,10,0.376202,-0.196579
1914,11,0.40814,-0.238084
1914,12,0.382904,-0.309668
1915,1,0.402623,-0.31167
1915,2,0.374239,-0.336973
1915,3,0.357689,-0.201788
1915,4,0.368839,-0.183716
1915,5,0.331578,-0.178884
1915,6,0.345449,-0.131685
1915,7,0.249986,-0.0868
1915,8,0.106073,-0.185446
1915,9,0.0117,-0.106895
1915,10,-0.0743,-0.24978
1915,11,-0.102441,-0.312548
1915,12,-0.228198,-0.338271
1916,1,-0.256057,-0.290652
1916,2,-0.21045,-0.115024
1916,3,-0.155671,-0.204327
1916,4,-0.140246,-0.260492
1916,5,-0.281632,-0.322351
1916,6,-0.368048,-0.372224
1916,7,-0.395126,-0.350619
1916,8,-0.532137,-0.203639
1916,9,-0.58731,-0.241183
1916,10,-0.626639,-0.153564
1916,11,-0.657125,-0.339272
1916,12,-0.622153,-0.472738
1917,1,-0.61063,-0.49436
1917,2,-0.577225,-0.323689
1917,3,-0.671425,-0.368022
1917,4,-0.5206,-0.263787
1917,5,-0.471421,-0.20197
1917,6,-0.288264,-0.175503
1917,7,-0.246396,-0.273995
1917,8,-0.318857,-0.310664
1917,9,-0.35666,-0.319019
1917,10,-0.494466,-0.339126
1917,11,-0.479873,-0.343205
1917,12,-0.503013,-0.374985
1918,1,-0.464684,-0.354888
1918,2,-0.423279,-0.405262
1918,3,-0.321991,-0.363892
