Model,Variable,Alias,Experiment,Realization,Moving Year,File,DoIt?
MRI-CGCM3,pr,Precipitacion [mm],Historical,E5,0,/GCMData_MagdalenaCauca/Pr/MRI-CGCM3/HISTORICAL/R1,0
MRI-CGCM3,tas,Temperatura media [c],Historical,R1,0,/GCMData_MagdalenaCauca/Ta/MRI-CGCM3/HISTORICAL/R1,0
MRI-CGCM3,pr,Precipitacion [mm],rcp45,R1,0,/GCMData_MagdalenaCauca/Pr/MRI-CGCM3/RCP4.5/R1,0
MRI-CGCM3,tas,Temperatura media [c],rcp45,R1,0,/GCMData_MagdalenaCauca/Ta/MRI-CGCM3/RCP4.5/R1,0
MRI-CGCM3,pr,Precipitacion [mm],rcp85,R1,0,/GCMData_MagdalenaCauca/Pr/MRI-CGCM3/RCP8.5/R1,0
MRI-CGCM3,tas,Temperatura media [c],rcp85,R1,0,/GCMData_MagdalenaCauca/Ta/MRI-CGCM3/RCP8.5/R1,0
NorESM1-M,pr,Precipitacion [mm],Historical,R1,0,/GCMData_MagdalenaCauca/Pr/NorESM1-M/HISTORICAL/R1,0
NorESM1-M,tas,Temperatura media [c],Historical,R1,0,/GCMData_MagdalenaCauca/Ta/NorESM1-M/HISTORICAL/R1,0
NorESM1-M,pr,Precipitacion [mm],rcp45,R1,0,/GCMData_MagdalenaCauca/Pr/NorESM1-M/RCP4.5/R1,0
NorESM1-M,tas,Temperatura media [c],rcp45,R1,0,/GCMData_MagdalenaCauca/Ta/NorESM1-M/RCP4.5/R1,0
NorESM1-M,pr,Precipitacion [mm],rcp85,R1,0,/GCMData_MagdalenaCauca/Pr/NorESM1-M/RCP8.5/R1,0
NorESM1-M,tas,Temperatura media [c],rcp85,R1,0,/GCMData_MagdalenaCauca/Ta/NorESM1-M/RCP8.5/R1,0
